System Date,11/25/2024 12:59:34 PM
 
Report Type,System,System ID,System Name,Site ID,Site Name,System Type,System IP Address
System,Base System,21,WC1200,1,JADEC,JADEC WC1200-WC2000,192.168.1.3
System,Subsystem 1,31,XT2640-011,1,JADEC,Xitron XT2640,192.168.1.150
 
Report Type,System ID,System Name,Serial Number,System Type,Manufacturer,Model,Calibration Date,Calibration Due,Cal Due (Days),Status
Additional Equipment,31,XT2640-011,2643AD1712002,Xitron XT2640,XITRON,XT2640,2024-03-01,2025-03-01,96,OK
 
Report Type,System,Chassis Serial Number,Chassis Panel,Chassis Index,Collection Hardware ID,Module Serial Number,Manufacturer,Model,Slot,Calibration ID,Calibration Date,Calibration Due Date,Cal Due (Days),Status
Collection Hardware,WC1200,28918155,DAQ 1,-1,23,29033251,NI,9265,3,22609,2024-11-20,2025-11-20,360,OK
Process Interfaces,WC1200,19057,OIL_SYS01_OIL_PUMP_PRESS_01,WC1200,7261,DAQ3A_AI_004,DAQ3A Current Input 4,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,psia,17651,532132,Pressure,Omega,,2024-10-02,2025-04-02,128,OK
Process Interfaces,WC1200,19058,OIL_SYS01_OIL_SUMP-MID_PRESS_01,WC1200,7262,DAQ3A_AI_005,DAQ3A Current Input 5,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,psia,7923,460450,Pressure,Omega,,2024-10-02,2025-04-02,128,OK
Process Interfaces,WC1200,19059,AMB_UNIT_AIR_EXT_PRESS_01,WC1200,7263,DAQ3A_AI_006,DAQ3A Current Input 6,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,psia,1854,490587,Pressure,Omega,,2024-10-02,2025-04-02,128,OK
Process Interfaces,WC1200,16434,EVAP_UNIT_WTR_NOZ_DP_01,WC1200,7264,DAQ3A_AI_007,DAQ3A Current Input 7,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,ftH2O,3169,1769839,Diff Pressure,Rosemount,,2024-10-02,2025-04-02,128,OK
Process Interfaces,WC1200,16428,COND_UNIT_WTR_NOZ_DP_01,WC1200,7265,DAQ3A_AI_008,DAQ3A Current Input 8,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,ftH2O,4847,1396531,Diff Pressure,Rosemount,,2024-10-02,2025-04-02,128,OK
Process Interfaces,WC1200,18784,OIL_UNIT_WTR_NOZ_DP_01,WC1200,7266,DAQ3A_AI_009,DAQ3A Current Input 9,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,ftH2O,1842,1895448,Diff Pressure,Rosemount,,2024-10-02,2025-04-02,128,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7267,DAQ3A_AI_010,DAQ3A Current Input 10,AI,FALSE,TRUE,TRUE,0.003000,0.021000,mA,%,17647,1903736,Device,Omega,,2024-07-16,2025-07-16,233,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7271,DAQ3A_AI_014,DAQ3A Current Input 14,AI,FALSE,TRUE,TRUE,0.003000,0.021000,mA,gpm,22187,12213539_26209955,Flow,Micro Motion,,2022-06-15,2025-06-15,202,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7272,DAQ3A_AI_015,DAQ3A Current Input 15,AI,FALSE,TRUE,TRUE,0.003000,0.021000,mA,gpm,22152,12112441_25693743,Flow,Micro Motion,,2023-08-09,2026-08-09,622,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7273,DAQ3A_AI_016,DAQ3A Current Input 16,AI,FALSE,TRUE,TRUE,0.003000,0.021000,mA,gpm,22044,0870135755_0860223583,Flow,Rosemount,,2023-02-14,2025-02-15,82,OK
Process Interfaces,WC1200,7050,COND_WTR_E_TEMP_TET-CW-2A,WC1200,16293,DAQ2_RTD_001,DAQ2 RTD Input 1,AI,TRUE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,20954,EDC27E,RTD,Pyromation,,2024-11-20,2025-05-20,176,OK
Process Interfaces,WC1200,7051,COND_WTR_E_TEMP_TET-CW-2B,WC1200,16294,DAQ2_RTD_002,DAQ2 RTD Input 2,AI,TRUE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,19926,ED78AE,RTD,Pyromation,,2024-11-20,2025-05-20,176,OK
Process Interfaces,WC1200,7144,COND_WTR_L_TEMP_TET-CW-3A,WC1200,16295,DAQ2_RTD_003,DAQ2 RTD Input 3,AI,TRUE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,19921,ED267D,RTD,Pyromation,,2024-11-20,2025-05-20,176,OK
Process Interfaces,WC1200,7145,COND_WTR_L_TEMP_TET-CW-3B,WC1200,16296,DAQ2_RTD_004,DAQ2 RTD Input 4,AI,TRUE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,19933,EDC284,RTD,Pyromation,,2024-11-20,2025-05-20,176,OK
Process Interfaces,WC1200,7093,EVAP_WTR_E_TEMP_TET-EW-2A,WC1200,16297,DAQ2_RTD_005,DAQ2 RTD Input 5,AI,TRUE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,19923,ED546D,RTD,Pyromation,,2024-11-20,2025-05-20,176,OK
Process Interfaces,WC1200,7094,EVAP_WTR_E_TEMP_TET-EW-2B,WC1200,16298,DAQ2_RTD_006,DAQ2 RTD Input 6,AI,TRUE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,19934,EDC2F1,RTD,Pyromation,,2024-11-20,2025-05-20,176,OK
Process Interfaces,WC1200,7148,EVAP_WTR_L_TEMP_TET-EW-3A,WC1200,16299,DAQ2_RTD_007,DAQ2 RTD Input 7,AI,TRUE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,19922,ED53E5,RTD,Pyromation,,2024-11-20,2025-05-20,176,OK
Process Interfaces,WC1200,7149,EVAP_WTR_L_TEMP_TET-EW-3B,WC1200,16300,DAQ2_RTD_008,DAQ2 RTD Input 8,AI,TRUE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,19924,ED5471,RTD,Pyromation,,2024-11-20,2025-05-20,176,OK
Process Interfaces,WC1200,7141,CH_WTR_E_TEMP_TET-CH-2,WC1200,16301,DAQ2_RTD_009,DAQ2 RTD Input 9,AI,TRUE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,19927,ED78BD,RTD,Pyromation,,2024-11-20,2025-05-20,176,OK
Process Interfaces,WC1200,7142,CH_WTR_L_TEMP_TET-CH-3,WC1200,16302,DAQ2_RTD_010,DAQ2 RTD Input 10,AI,TRUE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,19931,EDC27C,RTD,Pyromation,,2024-11-20,2025-05-20,176,OK
Process Interfaces,N/A,N/A,N/A,WC1200,16303,DAQ2_RTD_011,DAQ2 RTD Input 11,AI,FALSE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,19928,ED78CF,RTD,Pyromation,,2024-11-20,2025-05-20,176,OK
Process Interfaces,N/A,N/A,N/A,WC1200,16304,DAQ2_RTD_012,DAQ2 RTD Input 12,AI,FALSE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,19935,EDC326,RTD,Pyromation,,2024-11-20,2025-05-20,176,OK
Process Interfaces,N/A,N/A,N/A,WC1200,16305,DAQ2_RTD_013,DAQ2 RTD Input 13,AI,FALSE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,19936,EDC329,RTD,Pyromation,,2024-11-20,2025-05-20,176,OK
Process Interfaces,N/A,N/A,N/A,WC1200,16306,DAQ2_RTD_014,DAQ2 RTD Input 14,AI,FALSE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,19932,EDC281,RTD,Pyromation,,2024-11-20,2025-05-20,176,OK
Process Interfaces,N/A,N/A,N/A,WC1200,16307,DAQ2_RTD_015,DAQ2 RTD Input 15,AI,FALSE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,19930,ED792D,RTD,Pyromation,,2024-11-20,2025-05-20,176,OK
Process Interfaces,N/A,N/A,N/A,WC1200,16308,DAQ2_RTD_016,DAQ2 RTD Input 16,AI,FALSE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,19929,ED78D0,RTD,Pyromation,,2024-11-20,2025-05-20,176,OK
Process Interfaces,WC1200,16464,COMPR_SYS01_RFG_SUCT_TEMP_01,WC1200,16309,DAQ3A_RTD_001,DAQ3A RTD Input 1,AI,TRUE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,5134,D30973,RTD,Pyromation,,2024-11-21,2025-05-21,177,OK
Process Interfaces,WC1200,16463,COMPR_SYS01_RFG_DISCH_TEMP_01,WC1200,16310,DAQ3A_RTD_002,DAQ3A RTD Input 2,AI,TRUE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,5133,D30971,RTD,Pyromation,,2024-11-21,2025-05-21,177,OK
Process Interfaces,WC1200,19060,EVAP_SYS01_RLIQ_EV-E_TEMP_01,WC1200,16311,DAQ3A_RTD_003,DAQ3A RTD Input 3,AI,TRUE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,4762,D5C30E,RTD,Pyromation,,2024-11-21,2025-05-21,177,OK
Process Interfaces,WC1200,19061,EVAP_SYS02_RLIQ_EV-E_TEMP_01,WC1200,16312,DAQ3A_RTD_004,DAQ3A RTD Input 4,AI,TRUE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,3352,D311C9,RTD,Pyromation,,2024-11-21,2025-05-21,177,OK
Process Interfaces,WC1200,18785,OIL_SYS01_WTR_CLR-E_TEMP_01,WC1200,16313,DAQ3A_RTD_005,DAQ3A RTD Input 5,AI,TRUE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,5130,D302CF,RTD,Pyromation,,2024-11-21,2025-05-21,177,OK
Process Interfaces,WC1200,18786,OIL_SYS01_WTR_CLR-L_TEMP_01,WC1200,16314,DAQ3A_RTD_006,DAQ3A RTD Input 6,AI,TRUE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,5135,D30974,RTD,Pyromation,,2024-11-21,2025-05-21,177,OK
Process Interfaces,WC1200,16462,AMB_UNIT_AIR_EXT_TEMP_01,WC1200,16315,DAQ3A_RTD_007,DAQ3A RTD Input 7,AI,TRUE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,13874,D808DC,RTD,Pyromation,,2024-11-21,2025-05-21,177,OK
Process Interfaces,N/A,N/A,N/A,WC1200,16316,DAQ3A_RTD_008,DAQ3A RTD Input 8,AI,FALSE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,5092,D5F0AD,RTD,Pyromation,,2024-11-21,2025-05-21,177,OK
