System Date,9/11/2024 10:37:41 AM
 
Report Type,System,System ID,System Name,Site ID,Site Name,System Type,System IP Address
System,Base System,20,WC500-3,1,JADEC,JADEC WC500-WC1000,192.168.1.3
System,Subsystem 1,15,XT2640-006,1,JADEC,Xitron XT2640,192.168.1.151
System,Subsystem 2,71,XT2640-042,1,JADEC,Xitron XT2640,192.168.1.150
 
Report Type,System ID,System Name,Serial Number,System Type,Manufacturer,Model,Calibration Date,Calibration Due,Cal Due (Days),Status
Additional Equipment,15,XT2640-006,2643AD1606002,Xitron XT2640,XITRON,XT2640,2024-03-01,2025-03-01,171,OK
Additional Equipment,71,XT2640-042,2643AD1605013,Xitron XT2640,XITRON,XT2640,2024-06-27,2025-06-27,289,OK
 
Report Type,System,Chassis Serial Number,Chassis Panel,Chassis Index,Collection Hardware ID,Module Serial Number,Manufacturer,Model,Slot,Calibration ID,Calibration Date,Calibration Due Date,Cal Due (Days),Status
Collection Hardware,WC500-3,29857707,DAQ 3A,2,16,29224145,NI,9214,1,22488,2024-08-27,2025-08-27,350,OK
Process Interfaces,WC500-3,6697,CH_WTR_L_TEMP_TET-CH-3,WC500-3,16092,DAQ2_RTD_010,DAQ2 RTD Input 10,AI,TRUE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,17749,ED26F7,RTD,Pyromation,,2024-08-26,2025-02-26,168,OK
Process Interfaces,N/A,N/A,N/A,WC500-3,16093,DAQ2_RTD_011,DAQ2 RTD Input 11,AI,FALSE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,17754,ED2769,RTD,Pyromation,,2024-08-26,2025-02-26,168,OK
Process Interfaces,N/A,N/A,N/A,WC500-3,16094,DAQ2_RTD_012,DAQ2 RTD Input 12,AI,FALSE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,17748,ED26F6,RTD,Pyromation,,2024-08-26,2025-02-26,168,OK
Process Interfaces,N/A,N/A,N/A,WC500-3,16095,DAQ2_RTD_013,DAQ2 RTD Input 13,AI,FALSE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,17746,ED267F,RTD,Pyromation,,2024-08-26,2025-02-26,168,OK
Process Interfaces,N/A,N/A,N/A,WC500-3,16096,DAQ2_RTD_014,DAQ2 RTD Input 14,AI,FALSE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,17750,ED26FD,RTD,Pyromation,,2024-08-26,2025-02-26,168,OK
Process Interfaces,N/A,N/A,N/A,WC500-3,16097,DAQ2_RTD_015,DAQ2 RTD Input 15,AI,FALSE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,17751,ED2764,RTD,Pyromation,,2024-08-26,2025-02-26,168,OK
Process Interfaces,N/A,N/A,N/A,WC500-3,16098,DAQ2_RTD_016,DAQ2 RTD Input 16,AI,FALSE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,17740,ED2609,RTD,Pyromation,,2024-08-26,2025-02-26,168,OK
Process Interfaces,N/A,N/A,N/A,WC500-3,16099,DAQ3A_RTD_001,DAQ3A RTD Input 1,AI,FALSE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,3353,D311CB,RTD,Pyromation,,2024-08-27,2025-02-27,169,OK
Process Interfaces,N/A,N/A,N/A,WC500-3,16100,DAQ3A_RTD_002,DAQ3A RTD Input 2,AI,FALSE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,4464,D2F75C,RTD,Pyromation,,2024-08-27,2025-02-27,169,OK
Process Interfaces,N/A,N/A,N/A,WC500-3,16101,DAQ3A_RTD_003,DAQ3A RTD Input 3,AI,FALSE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,4656,D3199A,RTD,Pyromation,,2024-08-27,2025-02-27,169,OK
